 pp_0000               2.3193593017E+06      1.3650959330E+06      1                 2.5900000E-03
 pp_0001               2.4301717566E+06      1.3612262768E+06      1                 2.5500001E-03
 pp_0002               2.3029761430E+06      1.3498183904E+06      1                 2.5700000E-03
 pp_0003               2.3188064937E+06      1.3492655823E+06      1                 2.5900000E-03
 pp_0004               2.3346368444E+06      1.3487127743E+06      1                 2.5900001E-03
 pp_0005               2.3504671951E+06      1.3481599663E+06      1                 2.5600001E-03
 pp_0006               2.3662975458E+06      1.3476071583E+06      1                 2.5400001E-03
 pp_0007               2.4296189486E+06      1.3453959261E+06      1                 2.5000001E-03
 pp_0008               2.4454492993E+06      1.3448431181E+06      1                 2.3400001E-03
 pp_0009               2.3182536856E+06      1.3334352316E+06      1                 2.6700001E-03
 pp_0010               2.3340840363E+06      1.3328824236E+06      1                 2.6200001E-03
 pp_0011               2.3499143870E+06      1.3323296156E+06      1                 2.5400001E-03
 pp_0012               2.3657447377E+06      1.3317768076E+06      1                 2.5300002E-03
 pp_0013               2.3815750884E+06      1.3312239995E+06      1                 2.5600001E-03
 pp_0014               2.3974054391E+06      1.3306711915E+06      1                 2.8100002E-03
 pp_0015               2.4132357898E+06      1.3301183835E+06      1                 3.3100001E-03
 pp_0016               2.4290661405E+06      1.3295655754E+06      1                 2.6600007E-03
 pp_0017               2.4448964912E+06      1.3290127674E+06      1                 2.6000003E-03
 pp_0018               2.3335312283E+06      1.3170520729E+06      1                 2.6400002E-03
 pp_0019               2.3493615790E+06      1.3164992649E+06      1                 2.5100001E-03
 pp_0020               2.3651919297E+06      1.3159464569E+06      1                 2.4300001E-03
 pp_0021               2.3810222804E+06      1.3153936488E+06      1                 2.5000002E-03
 pp_0022               2.3968526311E+06      1.3148408408E+06      1                 4.5899990E-03
 pp_0023               2.4285133325E+06      1.3137352247E+06      1                 3.5400005E-03
 pp_0024               2.4443436832E+06      1.3131824167E+06      1                 2.5500007E-03
 pp_0025               2.4601740339E+06      1.3126296087E+06      1                 2.5500002E-03
 pp_0026               2.3488087710E+06      1.3006689142E+06      1                 2.3600001E-03
 pp_0027               2.3646391217E+06      1.3001161062E+06      1                 2.2200001E-03
 pp_0028               2.3804694724E+06      1.2995632981E+06      1                 2.1899999E-03
 pp_0029               2.3962998231E+06      1.2990104901E+06      1                 3.8499989E-03
 pp_0030               2.4121301738E+06      1.2984576821E+06      1                 3.8799912E-03
 pp_0031               2.4279605245E+06      1.2979048740E+06      1                 2.9700010E-03
 pp_0032               2.4437908752E+06      1.2973520660E+06      1                 2.4500014E-03
