time,RIV01,RIV02,RIV03,RIV04,RIV05,RIV06,RIV07,RIV08,RIV09,RIV10,RIV11,RIV12,RIV13
791.4000000000,-0.27476E+06,-0.10024E+08,-0.50716E+07,-0.31469E+07,-0.79639E+06,-0.14790E+08,-0.76309E+07,-0.62035E+07,-0.25099E+07,-0.32208E+07,-0.62232E+07,-0.44700E+07,-0.17814E+08
820.4000000000,-0.25438E+06,-0.94169E+07,-0.48404E+07,-0.26419E+07,-0.66372E+06,-0.13883E+08,-0.71730E+07,-0.59858E+07,-0.24858E+07,-0.32204E+07,-0.62087E+07,-0.44787E+07,-0.17826E+08
851.4000000000,-0.24624E+06,-0.88643E+07,-0.45710E+07,-0.23228E+07,-0.61165E+06,-0.13093E+08,-0.68079E+07,-0.58647E+07,-0.24688E+07,-0.32140E+07,-0.61925E+07,-0.44800E+07,-0.17831E+08
881.4000000000,-0.64133E+06,-0.94182E+07,-0.45493E+07,-0.21522E+06,-0.15810E+07,-0.13647E+08,-0.70089E+07,-0.94156E+07,-0.31495E+07,-0.32790E+07,-0.61780E+07,-0.45055E+07,-0.17827E+08
912.4000000000,-0.98273E+06,-0.10428E+08,-0.64092E+07,-0.59322E+07,-0.27995E+07,-0.15413E+08,-0.78739E+07,-0.12839E+08,-0.35335E+07,-0.32159E+07,-0.61635E+07,-0.44766E+07,-0.17747E+08
942.4000000000,-0.12150E+07,-0.11216E+08,-0.78376E+07,-0.98700E+07,-0.33158E+07,-0.16970E+08,-0.87494E+07,-0.13986E+08,-0.35783E+07,-0.31990E+07,-0.61518E+07,-0.44370E+07,-0.17682E+08
973.4000000000,-0.13128E+07,-0.11635E+08,-0.75870E+07,-0.10804E+08,-0.31158E+07,-0.18008E+08,-0.93278E+07,-0.13555E+08,-0.34732E+07,-0.31897E+07,-0.61406E+07,-0.43831E+07,-0.17670E+08
1004.400000000,-0.12485E+07,-0.12118E+08,-0.76881E+07,-0.11248E+08,-0.27662E+07,-0.18288E+08,-0.95042E+07,-0.12708E+08,-0.34757E+07,-0.31577E+07,-0.61282E+07,-0.43388E+07,-0.17663E+08
1034.400000000,-0.10428E+07,-0.12347E+08,-0.76971E+07,-0.84077E+07,-0.23021E+07,-0.17918E+08,-0.93025E+07,-0.10975E+08,-0.32377E+07,-0.30577E+07,-0.61157E+07,-0.43520E+07,-0.17691E+08
1065.400000000,-0.83272E+06,-0.11850E+08,-0.63603E+07,-0.36843E+07,-0.16868E+07,-0.16740E+08,-0.86436E+07,-0.89126E+07,-0.26176E+07,-0.28269E+07,-0.60898E+07,-0.43427E+07,-0.17650E+08
1095.400000000,-0.38106E+06,-0.10861E+08,-0.52536E+07,-0.31323E+07,-0.89873E+06,-0.15637E+08,-0.80134E+07,-0.66785E+07,-0.23492E+07,-0.29606E+07,-0.60768E+07,-0.43662E+07,-0.17702E+08
1126.400000000,-0.29933E+06,-0.10054E+08,-0.47850E+07,-0.26564E+07,-0.85762E+06,-0.14980E+08,-0.76316E+07,-0.62321E+07,-0.23347E+07,-0.30043E+07,-0.60648E+07,-0.44056E+07,-0.17744E+08
1157.400000000,-0.26232E+06,-0.93635E+07,-0.44693E+07,-0.25090E+07,-0.74913E+06,-0.14192E+08,-0.72141E+07,-0.59662E+07,-0.23183E+07,-0.30208E+07,-0.60524E+07,-0.44282E+07,-0.17766E+08
1185.400000000,-0.26213E+06,-0.88307E+07,-0.43077E+07,-0.21034E+07,-0.51974E+06,-0.13257E+08,-0.67390E+07,-0.57906E+07,-0.23097E+07,-0.30250E+07,-0.60407E+07,-0.44370E+07,-0.17776E+08
