 KSTP      KPER              PERTIM         TOTIM          NCOL      NROW      ILAY      TEXT
 1         20                31.00000       607.4000       65        64        6         HEAD
 1         21                31.00000       638.4000       65        64        1         HEAD
 1         21                31.00000       638.4000       65        64        2         HEAD
 1         21                31.00000       638.4000       65        64        3         HEAD
 1         21                31.00000       638.4000       65        64        4         HEAD
 1         21                31.00000       638.4000       65        64        5         HEAD
 1         21                31.00000       638.4000       65        64        6         HEAD
 1         22                30.00000       668.4000       65        64        1         HEAD
 1         22                30.00000       668.4000       65        64        2         HEAD
 1         22                30.00000       668.4000       65        64        3         HEAD
 1         22                30.00000       668.4000       65        64        4         HEAD
 1         22                30.00000       668.4000       65        64        5         HEAD
 1         22                30.00000       668.4000       65        64        6         HEAD
 1         23                31.00000       699.4000       65        64        1         HEAD
 1         23                31.00000       699.4000       65        64        2         HEAD
 1         23                31.00000       699.4000       65        64        3         HEAD
 1         23                31.00000       699.4000       65        64        4         HEAD
 1         23                31.00000       699.4000       65        64        5         HEAD
 1         23                31.00000       699.4000       65        64        6         HEAD
 1         24                30.00000       729.4000       65        64        1         HEAD
 1         24                30.00000       729.4000       65        64        2         HEAD
 1         24                30.00000       729.4000       65        64        3         HEAD
 1         24                30.00000       729.4000       65        64        4         HEAD
 1         24                30.00000       729.4000       65        64        5         HEAD
 1         24                30.00000       729.4000       65        64        6         HEAD
 1         25                31.00000       760.4000       65        64        1         HEAD
 1         25                31.00000       760.4000       65        64        2         HEAD
 1         25                31.00000       760.4000       65        64        3         HEAD
 1         25                31.00000       760.4000       65        64        4         HEAD
 1         25                31.00000       760.4000       65        64        5         HEAD
 1         25                31.00000       760.4000       65        64        6         HEAD
 1         26                31.00000       791.4000       65        64        1         HEAD
 1         26                31.00000       791.4000       65        64        2         HEAD
 1         26                31.00000       791.4000       65        64        3         HEAD
 1         26                31.00000       791.4000       65        64        4         HEAD
 1         26                31.00000       791.4000       65        64        5         HEAD
 1         26                31.00000       791.4000       65        64        6         HEAD
 1         27                29.00000       820.4000       65        64        1         HEAD
 1         27                29.00000       820.4000       65        64        2         HEAD
 1         27                29.00000       820.4000       65        64        3         HEAD
 1         27                29.00000       820.4000       65        64        4         HEAD
 1         27                29.00000       820.4000       65        64        5         HEAD
 1         27                29.00000       820.4000       65        64        6         HEAD
 1         28                31.00000       851.4000       65        64        1         HEAD
 1         28                31.00000       851.4000       65        64        2         HEAD
 1         28                31.00000       851.4000       65        64        3         HEAD
 1         28                31.00000       851.4000       65        64        4         HEAD
 1         28                31.00000       851.4000       65        64        5         HEAD
 1         28                31.00000       851.4000       65        64        6         HEAD
 1         29                30.00000       881.4000       65        64        1         HEAD
 1         29                30.00000       881.4000       65        64        2         HEAD
 1         29                30.00000       881.4000       65        64        3         HEAD
 1         29                30.00000       881.4000       65        64        4         HEAD
 1         29                30.00000       881.4000       65        64        5         HEAD
 1         29                30.00000       881.4000       65        64        6         HEAD
 1         30                31.00000       912.4000       65        64        1         HEAD
 1         30                31.00000       912.4000       65        64        2         HEAD
 1         30                31.00000       912.4000       65        64        3         HEAD
 1         30                31.00000       912.4000       65        64        4         HEAD
 1         30                31.00000       912.4000       65        64        5         HEAD
 1         30                31.00000       912.4000       65        64        6         HEAD
 1         31                30.00000       942.4000       65        64        1         HEAD
 1         31                30.00000       942.4000       65        64        2         HEAD
 1         31                30.00000       942.4000       65        64        3         HEAD
 1         31                30.00000       942.4000       65        64        4         HEAD
 1         31                30.00000       942.4000       65        64        5         HEAD
 1         31                30.00000       942.4000       65        64        6         HEAD
 1         32                31.00000       973.4000       65        64        1         HEAD
 1         32                31.00000       973.4000       65        64        2         HEAD
 1         32                31.00000       973.4000       65        64        3         HEAD
 1         32                31.00000       973.4000       65        64        4         HEAD
