time,DRN01,DRN02,DRN03,DRN04,DRN05,DRN06,DRN07,DRN08,DRN09,DRN10,DRN11,DRN12,DRN13,DRN14,DRN15,DRN16,DRN17,DRN18
608.0000000000,-88413.,-0.82179E+06,-0.16905E+06,-0.12613E+07,-0.61375E+07,-0.60600E+06,-0.33224E+07,-0.26781E+07,-0.19853E+08,0.0000,-0.77569E+07,-0.45117E+07,-0.11330E+08,-0.66142E+07,-0.15178E+07,-0.56060E+07,-0.74987E+07,-0.16404E+07
638.0000000000,-89009.,-0.81737E+06,-0.17387E+06,-0.12947E+07,-0.62425E+07,-0.61597E+06,-0.29536E+07,-0.27862E+07,-0.18790E+08,0.0000,-0.71951E+07,-0.46804E+07,-0.11463E+08,-0.69359E+07,-0.14710E+07,-0.51865E+07,-0.70887E+07,-0.16596E+07
669.0000000000,-87800.,-0.77622E+06,-0.16546E+06,-0.12387E+07,-0.58611E+07,-0.60924E+06,-0.24979E+07,-0.24616E+07,-0.15523E+08,0.0000,-0.55972E+07,-0.31361E+07,-0.10958E+08,-0.60711E+07,-0.13796E+07,-0.28944E+07,-0.61745E+07,-0.15905E+07
699.0000000000,-85144.,-0.74781E+06,-0.15750E+06,-0.11765E+07,-0.54805E+07,-0.59335E+06,-0.22362E+07,-0.22663E+07,-0.14009E+08,0.0000,-0.48890E+07,-0.21454E+07,-0.10180E+08,-0.51648E+07,-0.13147E+07,-0.17265E+07,-0.48651E+07,-0.14847E+07
730.0000000000,-82604.,-0.72213E+06,-0.14998E+06,-0.11185E+07,-0.51663E+07,-0.57855E+06,-0.20408E+07,-0.21158E+07,-0.13226E+08,0.0000,-0.44878E+07,-0.16952E+07,-0.95011E+07,-0.44573E+07,-0.12581E+07,-0.12660E+07,-0.40883E+07,-0.13890E+07
761.0000000000,-80181.,-0.69857E+06,-0.14301E+06,-0.10647E+07,-0.49065E+07,-0.56496E+06,-0.18951E+07,-0.20180E+07,-0.12736E+08,0.0000,-0.42124E+07,-0.14734E+07,-0.88778E+07,-0.39390E+07,-0.12079E+07,-0.10831E+07,-0.36079E+07,-0.13023E+07
789.0000000000,-78004.,-0.67875E+06,-0.13712E+06,-0.10189E+07,-0.47016E+07,-0.55345E+06,-0.17946E+07,-0.19412E+07,-0.12407E+08,0.0000,-0.40147E+07,-0.13578E+07,-0.83430E+07,-0.35587E+07,-0.11656E+07,-0.10003E+07,-0.33126E+07,-0.12300E+07
820.0000000000,-75646.,-0.65784E+06,-0.13105E+06,-0.97086E+06,-0.45053E+07,-0.54148E+06,-0.16974E+07,-0.18674E+07,-0.12115E+08,0.0000,-0.38336E+07,-0.12745E+07,-0.79214E+07,-0.32210E+07,-0.11218E+07,-0.94428E+06,-0.30915E+07,-0.11580E+07
850.0000000000,-75955.,-0.66830E+06,-0.13384E+06,-0.10000E+07,-0.46676E+07,-0.54454E+06,-0.18981E+07,-0.19869E+07,-0.14220E+08,0.0000,-0.43929E+07,-0.19904E+07,-0.80563E+07,-0.35236E+07,-0.11692E+07,-0.14795E+07,-0.36827E+07,-0.11839E+07
881.0000000000,-78738.,-0.72089E+06,-0.14562E+06,-0.10899E+07,-0.52022E+07,-0.56597E+06,-0.23160E+07,-0.23138E+07,-0.17928E+08,0.0000,-0.57650E+07,-0.40930E+07,-0.89570E+07,-0.44936E+07,-0.13426E+07,-0.30551E+07,-0.52530E+07,-0.13544E+07
911.0000000000,-81219.,-0.77426E+06,-0.15444E+06,-0.11371E+07,-0.57071E+07,-0.58493E+06,-0.28116E+07,-0.24547E+07,-0.20509E+08,0.0000,-0.68985E+07,-0.47681E+07,-0.97646E+07,-0.52335E+07,-0.14774E+07,-0.41194E+07,-0.64156E+07,-0.15152E+07
942.0000000000,-83321.,-0.81126E+06,-0.16452E+06,-0.11956E+07,-0.62494E+07,-0.59536E+06,-0.31872E+07,-0.25959E+07,-0.22043E+08,0.0000,-0.77875E+07,-0.49790E+07,-0.10620E+08,-0.60534E+07,-0.15871E+07,-0.51846E+07,-0.70561E+07,-0.16702E+07
973.0000000000,-85023.,-0.83479E+06,-0.17322E+06,-0.12563E+07,-0.66188E+07,-0.60355E+06,-0.33656E+07,-0.27992E+07,-0.22144E+08,0.0000,-0.80375E+07,-0.51163E+07,-0.11213E+08,-0.67499E+07,-0.16515E+07,-0.55922E+07,-0.74802E+07,-0.17785E+07
1003.000000000,-86832.,-0.85395E+06,-0.17824E+06,-0.13036E+07,-0.67630E+07,-0.61645E+06,-0.33970E+07,-0.29533E+07,-0.21438E+08,0.0000,-0.78701E+07,-0.52291E+07,-0.11428E+08,-0.70854E+07,-0.16576E+07,-0.52243E+07,-0.71279E+07,-0.18220E+07
1034.000000000,-85715.,-0.81176E+06,-0.17244E+06,-0.12616E+07,-0.64901E+07,-0.61080E+06,-0.28492E+07,-0.26536E+07,-0.17695E+08,0.0000,-0.61992E+07,-0.36025E+07,-0.10945E+08,-0.63912E+07,-0.15855E+07,-0.34728E+07,-0.63493E+07,-0.17617E+07
1064.000000000,-83025.,-0.77882E+06,-0.16379E+06,-0.12021E+07,-0.60527E+07,-0.59464E+06,-0.25085E+07,-0.24271E+07,-0.15573E+08,0.0000,-0.52518E+07,-0.24182E+07,-0.10112E+08,-0.54387E+07,-0.15187E+07,-0.19496E+07,-0.49565E+07,-0.16520E+07
1095.000000000,-80470.,-0.75147E+06,-0.15581E+06,-0.11456E+07,-0.56765E+07,-0.57963E+06,-0.22633E+07,-0.22470E+07,-0.14396E+08,0.0000,-0.47593E+07,-0.18666E+07,-0.94810E+07,-0.46851E+07,-0.14567E+07,-0.13698E+07,-0.41385E+07,-0.15493E+07
1126.000000000,-77985.,-0.72620E+06,-0.14847E+06,-0.10929E+07,-0.53590E+07,-0.56579E+06,-0.20697E+07,-0.21066E+07,-0.13657E+08,0.0000,-0.44319E+07,-0.15941E+07,-0.87706E+07,-0.41230E+07,-0.13993E+07,-0.11347E+07,-0.36362E+07,-0.14548E+07
1154.000000000,-75817.,-0.70455E+06,-0.14229E+06,-0.10477E+07,-0.51096E+07,-0.55408E+06,-0.19391E+07,-0.20189E+07,-0.13166E+08,0.0000,-0.42009E+07,-0.14519E+07,-0.81953E+07,-0.37155E+07,-0.13503E+07,-0.10359E+07,-0.33264E+07,-0.13751E+07
1185.000000000,-73617.,-0.68485E+06,-0.13616E+06,-0.10002E+07,-0.48806E+07,-0.54192E+06,-0.18789E+07,-0.19380E+07,-0.12957E+08,0.0000,-0.41529E+07,-0.13520E+07,-0.78029E+07,-0.33526E+07,-0.12995E+07,-0.97061E+06,-0.30953E+07,-0.12961E+07
1215.000000000,-75117.,-0.70513E+06,-0.14031E+06,-0.10348E+07,-0.50733E+07,-0.55005E+06,-0.21150E+07,-0.20603E+07,-0.14721E+08,0.0000,-0.48080E+07,-0.23701E+07,-0.81286E+07,-0.38319E+07,-0.13433E+07,-0.17870E+07,-0.39768E+07,-0.13313E+07
1246.000000000,-78289.,-0.75999E+06,-0.15232E+06,-0.11236E+07,-0.56065E+07,-0.57295E+06,-0.25209E+07,-0.24165E+07,-0.18606E+08,0.0000,-0.61777E+07,-0.46391E+07,-0.90484E+07,-0.47958E+07,-0.14413E+07,-0.32648E+07,-0.55052E+07,-0.14570E+07
1276.000000000,-83114.,-0.81837E+06,-0.16266E+06,-0.12174E+07,-0.61198E+07,-0.59783E+06,-0.29320E+07,-0.26960E+07,-0.20717E+08,0.0000,-0.71990E+07,-0.57937E+07,-0.99505E+07,-0.55475E+07,-0.15644E+07,-0.42556E+07,-0.64233E+07,-0.16147E+07
1307.000000000,-85318.,-0.85951E+06,-0.17142E+06,-0.12745E+07,-0.66265E+07,-0.60901E+06,-0.33271E+07,-0.27822E+07,-0.22306E+08,0.0000,-0.80728E+07,-0.57019E+07,-0.10729E+08,-0.63433E+07,-0.17299E+07,-0.52272E+07,-0.70571E+07,-0.18064E+07
1338.000000000,-88262.,-0.89466E+06,-0.18058E+06,-0.13520E+07,-0.69459E+07,-0.62586E+06,-0.34986E+07,-0.30233E+07,-0.22410E+08,0.0000,-0.82520E+07,-0.61836E+07,-0.11354E+08,-0.72195E+07,-0.18359E+07,-0.57709E+07,-0.73558E+07,-0.19409E+07
1368.000000000,-89413.,-0.90595E+06,-0.18328E+06,-0.13808E+07,-0.70165E+07,-0.63420E+06,-0.35145E+07,-0.30553E+07,-0.21498E+08,0.0000,-0.80397E+07,-0.56098E+07,-0.11441E+08,-0.73794E+07,-0.18244E+07,-0.51944E+07,-0.71128E+07,-0.19782E+07
1399.000000000,-90667.,-0.89164E+06,-0.17914E+06,-0.13518E+07,-0.67731E+07,-0.62639E+06,-0.32411E+07,-0.28501E+07,-0.18917E+08,0.0000,-0.69887E+07,-0.41706E+07,-0.11199E+08,-0.68365E+07,-0.17672E+07,-0.37638E+07,-0.64945E+07,-0.19227E+07
1429.000000000,-87862.,-0.85397E+06,-0.17001E+06,-0.12897E+07,-0.63317E+07,-0.61069E+06,-0.28378E+07,-0.25551E+07,-0.16508E+08,0.0000,-0.58382E+07,-0.26928E+07,-0.10252E+08,-0.58240E+07,-0.16925E+07,-0.20777E+07,-0.50477E+07,-0.18028E+07
1460.000000000,-85132.,-0.82455E+06,-0.16177E+06,-0.12302E+07,-0.59454E+07,-0.59584E+06,-0.25621E+07,-0.23620E+07,-0.15197E+08,-734.38,-0.51700E+07,-0.20766E+07,-0.95337E+07,-0.49913E+07,-0.16224E+07,-0.14340E+07,-0.41996E+07,-0.16886E+07
1491.000000000,-82482.,-0.79704E+06,-0.15418E+06,-0.11745E+07,-0.56145E+07,-0.58199E+06,-0.23424E+07,-0.22038E+07,-0.14355E+08,-3568.5,-0.47748E+07,-0.17549E+07,-0.89829E+07,-0.43633E+07,-0.15598E+07,-0.11746E+07,-0.36840E+07,-0.15845E+07
1519.000000000,-80109.,-0.77323E+06,-0.14782E+06,-0.11268E+07,-0.53532E+07,-0.57016E+06,-0.21777E+07,-0.20846E+07,-0.13807E+08,-5222.9,-0.45179E+07,-0.15909E+07,-0.84468E+07,-0.39287E+07,-0.15063E+07,-0.10590E+07,-0.33667E+07,-0.14983E+07
1550.000000000,-77530.,-0.74801E+06,-0.14128E+06,-0.10766E+07,-0.51001E+07,-0.55776E+06,-0.20383E+07,-0.20000E+07,-0.13346E+08,-6206.4,-0.42897E+07,-0.14706E+07,-0.79189E+07,-0.35332E+07,-0.14500E+07,-0.98895E+06,-0.31288E+07,-0.14094E+07
1580.000000000,-77738.,-0.72378E+06,-0.13605E+06,-0.10823E+07,-0.48215E+07,-0.54853E+06,-0.18809E+07,-0.19392E+07,-0.12618E+08,-5107.2,-0.39394E+07,-0.12254E+07,-0.83056E+07,-0.33316E+07,-0.14313E+07,-0.10113E+07,-0.41442E+07,-0.13196E+07
1611.000000000,-82604.,-0.76269E+06,-0.14741E+06,-0.11573E+07,-0.52837E+07,-0.56795E+06,-0.22505E+07,-0.22699E+07,-0.16688E+08,-9662.8,-0.52410E+07,-0.34252E+07,-0.90262E+07,-0.41859E+07,-0.15005E+07,-0.24484E+07,-0.53184E+07,-0.14024E+07
1641.000000000,-85912.,-0.81335E+06,-0.15731E+06,-0.12197E+07,-0.57919E+07,-0.58918E+06,-0.27095E+07,-0.24949E+07,-0.19468E+08,-9464.9,-0.65183E+07,-0.47169E+07,-0.98800E+07,-0.51068E+07,-0.16083E+07,-0.37307E+07,-0.62159E+07,-0.15252E+07
1672.000000000,-87847.,-0.86005E+06,-0.16725E+06,-0.12757E+07,-0.63684E+07,-0.60777E+06,-0.32061E+07,-0.26167E+07,-0.21710E+08,-5690.9,-0.75992E+07,-0.51842E+07,-0.10636E+08,-0.59637E+07,-0.17699E+07,-0.49561E+07,-0.70730E+07,-0.17092E+07
