time,DRN01,DRN02,DRN03,DRN04,DRN05,DRN06,DRN07,DRN08,DRN09,DRN10,DRN11,DRN12,DRN13,DRN14,DRN15,DRN16,DRN17,DRN18
608.0000000000,-88135.,-0.81724E+06,-0.16905E+06,-0.12612E+07,-0.61373E+07,-0.60504E+06,-0.32759E+07,-0.26775E+07,-0.19794E+08,0.0000,-0.76175E+07,-0.45080E+07,-0.11330E+08,-0.66142E+07,-0.15178E+07,-0.56060E+07,-0.74987E+07,-0.16404E+07
638.0000000000,-88705.,-0.81243E+06,-0.17386E+06,-0.12946E+07,-0.62422E+07,-0.61492E+06,-0.29036E+07,-0.27857E+07,-0.18727E+08,0.0000,-0.70593E+07,-0.46764E+07,-0.11463E+08,-0.69359E+07,-0.14710E+07,-0.51865E+07,-0.70887E+07,-0.16596E+07
669.0000000000,-87472.,-0.77098E+06,-0.16545E+06,-0.12386E+07,-0.58608E+07,-0.60811E+06,-0.24477E+07,-0.24611E+07,-0.15456E+08,0.0000,-0.54609E+07,-0.31327E+07,-0.10957E+08,-0.60710E+07,-0.13796E+07,-0.28944E+07,-0.61745E+07,-0.15905E+07
699.0000000000,-84796.,-0.74240E+06,-0.15749E+06,-0.11765E+07,-0.54802E+07,-0.59215E+06,-0.21888E+07,-0.22657E+07,-0.13937E+08,0.0000,-0.47719E+07,-0.21418E+07,-0.10180E+08,-0.51648E+07,-0.13147E+07,-0.17265E+07,-0.48651E+07,-0.14847E+07
730.0000000000,-82238.,-0.71651E+06,-0.14997E+06,-0.11185E+07,-0.51660E+07,-0.57728E+06,-0.19932E+07,-0.21152E+07,-0.13155E+08,0.0000,-0.43854E+07,-0.16916E+07,-0.95010E+07,-0.44573E+07,-0.12581E+07,-0.12660E+07,-0.40883E+07,-0.13890E+07
761.0000000000,-79800.,-0.69315E+06,-0.14299E+06,-0.10647E+07,-0.49061E+07,-0.56363E+06,-0.18472E+07,-0.20174E+07,-0.12668E+08,0.0000,-0.41083E+07,-0.14697E+07,-0.88777E+07,-0.39389E+07,-0.12078E+07,-0.10831E+07,-0.36079E+07,-0.13023E+07
789.0000000000,-77611.,-0.67321E+06,-0.13710E+06,-0.10189E+07,-0.47013E+07,-0.55207E+06,-0.17469E+07,-0.19406E+07,-0.12338E+08,0.0000,-0.39087E+07,-0.13541E+07,-0.83428E+07,-0.35587E+07,-0.11656E+07,-0.10003E+07,-0.33126E+07,-0.12300E+07
820.0000000000,-75239.,-0.65215E+06,-0.13103E+06,-0.97082E+06,-0.45050E+07,-0.54005E+06,-0.16523E+07,-0.18668E+07,-0.12044E+08,0.0000,-0.37252E+07,-0.12709E+07,-0.79212E+07,-0.32210E+07,-0.11218E+07,-0.94428E+06,-0.30915E+07,-0.11580E+07
850.0000000000,-75534.,-0.66243E+06,-0.13382E+06,-0.10000E+07,-0.46672E+07,-0.54306E+06,-0.18492E+07,-0.19863E+07,-0.14145E+08,0.0000,-0.42806E+07,-0.19864E+07,-0.80561E+07,-0.35236E+07,-0.11692E+07,-0.14795E+07,-0.36827E+07,-0.11839E+07
881.0000000000,-78298.,-0.71436E+06,-0.14560E+06,-0.10898E+07,-0.52017E+07,-0.56443E+06,-0.22627E+07,-0.23132E+07,-0.17850E+08,0.0000,-0.56401E+07,-0.40875E+07,-0.89568E+07,-0.44936E+07,-0.13426E+07,-0.30551E+07,-0.52530E+07,-0.13544E+07
911.0000000000,-80757.,-0.76734E+06,-0.15443E+06,-0.11371E+07,-0.57065E+07,-0.58332E+06,-0.27526E+07,-0.24539E+07,-0.20429E+08,0.0000,-0.67654E+07,-0.47628E+07,-0.97643E+07,-0.52335E+07,-0.14774E+07,-0.41194E+07,-0.64156E+07,-0.15152E+07
942.0000000000,-82833.,-0.80391E+06,-0.16451E+06,-0.11956E+07,-0.62488E+07,-0.59366E+06,-0.31183E+07,-0.25951E+07,-0.21961E+08,0.0000,-0.75920E+07,-0.49734E+07,-0.10619E+08,-0.60534E+07,-0.15870E+07,-0.51846E+07,-0.70561E+07,-0.16702E+07
973.0000000000,-84506.,-0.82687E+06,-0.17320E+06,-0.12563E+07,-0.66181E+07,-0.60176E+06,-0.32917E+07,-0.27981E+07,-0.22058E+08,0.0000,-0.78249E+07,-0.51101E+07,-0.11213E+08,-0.67499E+07,-0.16515E+07,-0.55922E+07,-0.74802E+07,-0.17785E+07
1003.000000000,-86288.,-0.84564E+06,-0.17822E+06,-0.13035E+07,-0.67623E+07,-0.61457E+06,-0.33204E+07,-0.29522E+07,-0.21334E+08,0.0000,-0.76529E+07,-0.52222E+07,-0.11428E+08,-0.70854E+07,-0.16576E+07,-0.52243E+07,-0.71279E+07,-0.18220E+07
1034.000000000,-85145.,-0.80314E+06,-0.17242E+06,-0.12616E+07,-0.64894E+07,-0.60882E+06,-0.27704E+07,-0.26525E+07,-0.17587E+08,0.0000,-0.59987E+07,-0.35974E+07,-0.10944E+08,-0.63911E+07,-0.15854E+07,-0.34728E+07,-0.63493E+07,-0.17616E+07
1064.000000000,-82432.,-0.77015E+06,-0.16377E+06,-0.12021E+07,-0.60520E+07,-0.59259E+06,-0.24324E+07,-0.24262E+07,-0.15467E+08,0.0000,-0.50979E+07,-0.24129E+07,-0.10111E+08,-0.54386E+07,-0.15186E+07,-0.19496E+07,-0.49565E+07,-0.16520E+07
1095.000000000,-79858.,-0.74260E+06,-0.15579E+06,-0.11456E+07,-0.56758E+07,-0.57750E+06,-0.21900E+07,-0.22460E+07,-0.14295E+08,0.0000,-0.46122E+07,-0.18613E+07,-0.94807E+07,-0.46850E+07,-0.14567E+07,-0.13698E+07,-0.41385E+07,-0.15493E+07
1126.000000000,-77357.,-0.71717E+06,-0.14844E+06,-0.10928E+07,-0.53582E+07,-0.56361E+06,-0.19996E+07,-0.21058E+07,-0.13553E+08,0.0000,-0.42832E+07,-0.15887E+07,-0.87702E+07,-0.41229E+07,-0.13992E+07,-0.11347E+07,-0.36362E+07,-0.14548E+07
1154.000000000,-75175.,-0.69574E+06,-0.14226E+06,-0.10476E+07,-0.51090E+07,-0.55184E+06,-0.18698E+07,-0.20180E+07,-0.13060E+08,0.0000,-0.40509E+07,-0.14465E+07,-0.81950E+07,-0.37155E+07,-0.13502E+07,-0.10359E+07,-0.33264E+07,-0.13750E+07
1185.000000000,-72960.,-0.67610E+06,-0.13614E+06,-0.10001E+07,-0.48799E+07,-0.53963E+06,-0.18100E+07,-0.19371E+07,-0.12849E+08,0.0000,-0.40010E+07,-0.13467E+07,-0.78025E+07,-0.33525E+07,-0.12995E+07,-0.97061E+06,-0.30953E+07,-0.12961E+07
1215.000000000,-74444.,-0.69580E+06,-0.14028E+06,-0.10347E+07,-0.50725E+07,-0.54771E+06,-0.20441E+07,-0.20594E+07,-0.14613E+08,0.0000,-0.46435E+07,-0.23638E+07,-0.81282E+07,-0.38318E+07,-0.13433E+07,-0.17870E+07,-0.39768E+07,-0.13313E+07
1246.000000000,-77597.,-0.75015E+06,-0.15230E+06,-0.11235E+07,-0.56056E+07,-0.57054E+06,-0.24441E+07,-0.24153E+07,-0.18495E+08,0.0000,-0.60077E+07,-0.46316E+07,-0.90480E+07,-0.47957E+07,-0.14412E+07,-0.32647E+07,-0.55052E+07,-0.14570E+07
