sp,days,start_date,mid_date,year,month
80,31,1992-08-01 00:00:00,1992-08-16 12:00:00,1992,8
81,30,1992-09-01 00:00:00,1992-09-16 00:00:00,1992,9
82,31,1992-10-01 00:00:00,1992-10-16 12:00:00,1992,10
83,30,1992-11-01 00:00:00,1992-11-16 00:00:00,1992,11
84,31,1992-12-01 00:00:00,1992-12-16 12:00:00,1992,12
85,31,1993-01-01 00:00:00,1993-01-16 12:00:00,1993,1
86,28,1993-02-01 00:00:00,1993-02-15 00:00:00,1993,2
87,31,1993-03-01 00:00:00,1993-03-16 12:00:00,1993,3
88,30,1993-04-01 00:00:00,1993-04-16 00:00:00,1993,4
89,31,1993-05-01 00:00:00,1993-05-16 12:00:00,1993,5
90,30,1993-06-01 00:00:00,1993-06-16 00:00:00,1993,6
91,31,1993-07-01 00:00:00,1993-07-16 12:00:00,1993,7
92,31,1993-08-01 00:00:00,1993-08-16 12:00:00,1993,8
93,30,1993-09-01 00:00:00,1993-09-16 00:00:00,1993,9
94,31,1993-10-01 00:00:00,1993-10-16 12:00:00,1993,10
95,30,1993-11-01 00:00:00,1993-11-16 00:00:00,1993,11
96,31,1993-12-01 00:00:00,1993-12-16 12:00:00,1993,12
97,31,1994-01-01 00:00:00,1994-01-16 12:00:00,1994,1
98,28,1994-02-01 00:00:00,1994-02-15 00:00:00,1994,2
99,31,1994-03-01 00:00:00,1994-03-16 12:00:00,1994,3
100,30,1994-04-01 00:00:00,1994-04-16 00:00:00,1994,4
101,31,1994-05-01 00:00:00,1994-05-16 12:00:00,1994,5
102,30,1994-06-01 00:00:00,1994-06-16 00:00:00,1994,6
103,31,1994-07-01 00:00:00,1994-07-16 12:00:00,1994,7
104,31,1994-08-01 00:00:00,1994-08-16 12:00:00,1994,8
105,30,1994-09-01 00:00:00,1994-09-16 00:00:00,1994,9
106,31,1994-10-01 00:00:00,1994-10-16 12:00:00,1994,10
107,30,1994-11-01 00:00:00,1994-11-16 00:00:00,1994,11
108,31,1994-12-01 00:00:00,1994-12-16 12:00:00,1994,12
109,31,1995-01-01 00:00:00,1995-01-16 12:00:00,1995,1
110,28,1995-02-01 00:00:00,1995-02-15 00:00:00,1995,2
111,31,1995-03-01 00:00:00,1995-03-16 12:00:00,1995,3
112,30,1995-04-01 00:00:00,1995-04-16 00:00:00,1995,4
113,31,1995-05-01 00:00:00,1995-05-16 12:00:00,1995,5
114,30,1995-06-01 00:00:00,1995-06-16 00:00:00,1995,6
115,31,1995-07-01 00:00:00,1995-07-16 12:00:00,1995,7
116,31,1995-08-01 00:00:00,1995-08-16 12:00:00,1995,8
117,30,1995-09-01 00:00:00,1995-09-16 00:00:00,1995,9
118,31,1995-10-01 00:00:00,1995-10-16 12:00:00,1995,10
119,30,1995-11-01 00:00:00,1995-11-16 00:00:00,1995,11
120,31,1995-12-01 00:00:00,1995-12-16 12:00:00,1995,12
121,31,1996-01-01 00:00:00,1996-01-16 12:00:00,1996,1
122,29,1996-02-01 00:00:00,1996-02-15 12:00:00,1996,2
123,31,1996-03-01 00:00:00,1996-03-16 12:00:00,1996,3
124,30,1996-04-01 00:00:00,1996-04-16 00:00:00,1996,4
125,31,1996-05-01 00:00:00,1996-05-16 12:00:00,1996,5
126,30,1996-06-01 00:00:00,1996-06-16 00:00:00,1996,6
127,31,1996-07-01 00:00:00,1996-07-16 12:00:00,1996,7
128,31,1996-08-01 00:00:00,1996-08-16 12:00:00,1996,8
129,30,1996-09-01 00:00:00,1996-09-16 00:00:00,1996,9
130,31,1996-10-01 00:00:00,1996-10-16 12:00:00,1996,10
131,30,1996-11-01 00:00:00,1996-11-16 00:00:00,1996,11
132,31,1996-12-01 00:00:00,1996-12-16 12:00:00,1996,12
133,31,1997-01-01 00:00:00,1997-01-16 12:00:00,1997,1
134,28,1997-02-01 00:00:00,1997-02-15 00:00:00,1997,2
135,31,1997-03-01 00:00:00,1997-03-16 12:00:00,1997,3
136,30,1997-04-01 00:00:00,1997-04-16 00:00:00,1997,4
137,31,1997-05-01 00:00:00,1997-05-16 12:00:00,1997,5
138,30,1997-06-01 00:00:00,1997-06-16 00:00:00,1997,6
139,31,1997-07-01 00:00:00,1997-07-16 12:00:00,1997,7
140,31,1997-08-01 00:00:00,1997-08-16 12:00:00,1997,8
141,30,1997-09-01 00:00:00,1997-09-16 00:00:00,1997,9
142,31,1997-10-01 00:00:00,1997-10-16 12:00:00,1997,10
143,30,1997-11-01 00:00:00,1997-11-16 00:00:00,1997,11
144,31,1997-12-01 00:00:00,1997-12-16 12:00:00,1997,12
145,31,1998-01-01 00:00:00,1998-01-16 12:00:00,1998,1
146,28,1998-02-01 00:00:00,1998-02-15 00:00:00,1998,2
147,31,1998-03-01 00:00:00,1998-03-16 12:00:00,1998,3
148,30,1998-04-01 00:00:00,1998-04-16 00:00:00,1998,4
149,31,1998-05-01 00:00:00,1998-05-16 12:00:00,1998,5
150,30,1998-06-01 00:00:00,1998-06-16 00:00:00,1998,6
151,31,1998-07-01 00:00:00,1998-07-16 12:00:00,1998,7
152,31,1998-08-01 00:00:00,1998-08-16 12:00:00,1998,8
153,30,1998-09-01 00:00:00,1998-09-16 00:00:00,1998,9
154,31,1998-10-01 00:00:00,1998-10-16 12:00:00,1998,10
155,30,1998-11-01 00:00:00,1998-11-16 00:00:00,1998,11
156,31,1998-12-01 00:00:00,1998-12-16 12:00:00,1998,12
157,31,1999-01-01 00:00:00,1999-01-16 12:00:00,1999,1
158,28,1999-02-01 00:00:00,1999-02-15 00:00:00,1999,2
159,31,1999-03-01 00:00:00,1999-03-16 12:00:00,1999,3
160,30,1999-04-01 00:00:00,1999-04-16 00:00:00,1999,4
161,31,1999-05-01 00:00:00,1999-05-16 12:00:00,1999,5
162,30,1999-06-01 00:00:00,1999-06-16 00:00:00,1999,6
163,31,1999-07-01 00:00:00,1999-07-16 12:00:00,1999,7
164,31,1999-08-01 00:00:00,1999-08-16 12:00:00,1999,8
165,30,1999-09-01 00:00:00,1999-09-16 00:00:00,1999,9
166,31,1999-10-01 00:00:00,1999-10-16 12:00:00,1999,10
167,30,1999-11-01 00:00:00,1999-11-16 00:00:00,1999,11
168,31,1999-12-01 00:00:00,1999-12-16 12:00:00,1999,12
169,31,2000-01-01 00:00:00,2000-01-16 12:00:00,2000,1
170,29,2000-02-01 00:00:00,2000-02-15 12:00:00,2000,2
171,31,2000-03-01 00:00:00,2000-03-16 12:00:00,2000,3
172,30,2000-04-01 00:00:00,2000-04-16 00:00:00,2000,4
173,31,2000-05-01 00:00:00,2000-05-16 12:00:00,2000,5
174,30,2000-06-01 00:00:00,2000-06-16 00:00:00,2000,6
175,31,2000-07-01 00:00:00,2000-07-16 12:00:00,2000,7
176,31,2000-08-01 00:00:00,2000-08-16 12:00:00,2000,8
177,30,2000-09-01 00:00:00,2000-09-16 00:00:00,2000,9
178,31,2000-10-01 00:00:00,2000-10-16 12:00:00,2000,10
179,30,2000-11-01 00:00:00,2000-11-16 00:00:00,2000,11
180,31,2000-12-01 00:00:00,2000-12-16 12:00:00,2000,12
181,31,2001-01-01 00:00:00,2001-01-16 12:00:00,2001,1
182,28,2001-02-01 00:00:00,2001-02-15 00:00:00,2001,2
183,31,2001-03-01 00:00:00,2001-03-16 12:00:00,2001,3
184,30,2001-04-01 00:00:00,2001-04-16 00:00:00,2001,4
185,31,2001-05-01 00:00:00,2001-05-16 12:00:00,2001,5
186,30,2001-06-01 00:00:00,2001-06-16 00:00:00,2001,6
187,31,2001-07-01 00:00:00,2001-07-16 12:00:00,2001,7
188,31,2001-08-01 00:00:00,2001-08-16 12:00:00,2001,8
189,30,2001-09-01 00:00:00,2001-09-16 00:00:00,2001,9
190,31,2001-10-01 00:00:00,2001-10-16 12:00:00,2001,10
191,30,2001-11-01 00:00:00,2001-11-16 00:00:00,2001,11
192,31,2001-12-01 00:00:00,2001-12-16 12:00:00,2001,12
193,31,2002-01-01 00:00:00,2002-01-16 12:00:00,2002,1
194,28,2002-02-01 00:00:00,2002-02-15 00:00:00,2002,2
195,31,2002-03-01 00:00:00,2002-03-16 12:00:00,2002,3
196,30,2002-04-01 00:00:00,2002-04-16 00:00:00,2002,4
197,31,2002-05-01 00:00:00,2002-05-16 12:00:00,2002,5
198,30,2002-06-01 00:00:00,2002-06-16 00:00:00,2002,6
199,31,2002-07-01 00:00:00,2002-07-16 12:00:00,2002,7
200,31,2002-08-01 00:00:00,2002-08-16 12:00:00,2002,8
201,30,2002-09-01 00:00:00,2002-09-16 00:00:00,2002,9
202,31,2002-10-01 00:00:00,2002-10-16 12:00:00,2002,10
203,30,2002-11-01 00:00:00,2002-11-16 00:00:00,2002,11
204,31,2002-12-01 00:00:00,2002-12-16 12:00:00,2002,12
205,31,2003-01-01 00:00:00,2003-01-16 12:00:00,2003,1
206,28,2003-02-01 00:00:00,2003-02-15 00:00:00,2003,2
207,31,2003-03-01 00:00:00,2003-03-16 12:00:00,2003,3
208,30,2003-04-01 00:00:00,2003-04-16 00:00:00,2003,4
209,31,2003-05-01 00:00:00,2003-05-16 12:00:00,2003,5
210,30,2003-06-01 00:00:00,2003-06-16 00:00:00,2003,6
211,31,2003-07-01 00:00:00,2003-07-16 12:00:00,2003,7
212,31,2003-08-01 00:00:00,2003-08-16 12:00:00,2003,8
213,30,2003-09-01 00:00:00,2003-09-16 00:00:00,2003,9
214,31,2003-10-01 00:00:00,2003-10-16 12:00:00,2003,10
215,30,2003-11-01 00:00:00,2003-11-16 00:00:00,2003,11
216,31,2003-12-01 00:00:00,2003-12-16 12:00:00,2003,12
217,31,2004-01-01 00:00:00,2004-01-16 12:00:00,2004,1
218,29,2004-02-01 00:00:00,2004-02-15 12:00:00,2004,2
219,31,2004-03-01 00:00:00,2004-03-16 12:00:00,2004,3
220,30,2004-04-01 00:00:00,2004-04-16 00:00:00,2004,4
221,31,2004-05-01 00:00:00,2004-05-16 12:00:00,2004,5
222,30,2004-06-01 00:00:00,2004-06-16 00:00:00,2004,6
223,31,2004-07-01 00:00:00,2004-07-16 12:00:00,2004,7
224,31,2004-08-01 00:00:00,2004-08-16 12:00:00,2004,8
225,30,2004-09-01 00:00:00,2004-09-16 00:00:00,2004,9
226,31,2004-10-01 00:00:00,2004-10-16 12:00:00,2004,10
227,30,2004-11-01 00:00:00,2004-11-16 00:00:00,2004,11
228,31,2004-12-01 00:00:00,2004-12-16 12:00:00,2004,12
229,31,2005-01-01 00:00:00,2005-01-16 12:00:00,2005,1
230,28,2005-02-01 00:00:00,2005-02-15 00:00:00,2005,2
231,31,2005-03-01 00:00:00,2005-03-16 12:00:00,2005,3
232,30,2005-04-01 00:00:00,2005-04-16 00:00:00,2005,4
233,31,2005-05-01 00:00:00,2005-05-16 12:00:00,2005,5
234,30,2005-06-01 00:00:00,2005-06-16 00:00:00,2005,6
235,31,2005-07-01 00:00:00,2005-07-16 12:00:00,2005,7
236,31,2005-08-01 00:00:00,2005-08-16 12:00:00,2005,8
237,30,2005-09-01 00:00:00,2005-09-16 00:00:00,2005,9
238,31,2005-10-01 00:00:00,2005-10-16 12:00:00,2005,10
