time,DRN01,DRN02,DRN03,DRN04,DRN05,DRN06,DRN07,DRN08,DRN09,DRN10,DRN11,DRN12,DRN13,DRN14,DRN15,DRN16,DRN17,DRN18
576.4000000000,-0.16511E+06,-0.14168E+07,-0.20483E+06,-0.22869E+07,-0.74699E+07,-0.84689E+06,-0.46145E+07,-0.38676E+07,-0.24886E+08,-0.17577E+06,-0.10469E+08,-0.73220E+07,-0.12635E+08,-0.73447E+07,-0.29995E+07,-0.53333E+07,-0.76609E+07,-0.23142E+07
607.4000000000,-0.16597E+06,-0.14500E+07,-0.21198E+06,-0.23324E+07,-0.78090E+07,-0.86640E+06,-0.49781E+07,-0.40094E+07,-0.26195E+08,-0.16876E+06,-0.11488E+08,-0.73723E+07,-0.13386E+08,-0.78883E+07,-0.30312E+07,-0.56943E+07,-0.85233E+07,-0.24340E+07
638.4000000000,-0.16682E+06,-0.14686E+07,-0.21811E+06,-0.23542E+07,-0.79627E+07,-0.88288E+06,-0.51060E+07,-0.40771E+07,-0.25829E+08,-0.15466E+06,-0.11612E+08,-0.72233E+07,-0.13875E+08,-0.84663E+07,-0.30236E+07,-0.60111E+07,-0.86147E+07,-0.25138E+07
668.4000000000,-0.16696E+06,-0.14690E+07,-0.22010E+06,-0.23235E+07,-0.80451E+07,-0.88640E+06,-0.50160E+07,-0.40354E+07,-0.25058E+08,-0.14584E+06,-0.11300E+08,-0.64536E+07,-0.13851E+08,-0.86470E+07,-0.29344E+07,-0.55892E+07,-0.82343E+07,-0.25033E+07
699.4000000000,-0.16415E+06,-0.14015E+07,-0.21214E+06,-0.22243E+07,-0.76939E+07,-0.86557E+06,-0.43533E+07,-0.37438E+07,-0.21122E+08,-0.13182E+06,-0.91725E+07,-0.43386E+07,-0.13049E+08,-0.78463E+07,-0.28008E+07,-0.37159E+07,-0.68512E+07,-0.23969E+07
729.4000000000,-0.16085E+06,-0.13513E+07,-0.20183E+06,-0.21180E+07,-0.72523E+07,-0.84608E+06,-0.39601E+07,-0.34777E+07,-0.19010E+08,-0.13546E+06,-0.81058E+07,-0.32849E+07,-0.12139E+08,-0.68548E+07,-0.26827E+07,-0.22905E+07,-0.54220E+07,-0.22376E+07
760.4000000000,-0.15768E+06,-0.13087E+07,-0.19222E+06,-0.20155E+07,-0.68744E+07,-0.82783E+06,-0.36864E+07,-0.32550E+07,-0.17871E+08,-0.14095E+06,-0.74030E+07,-0.27895E+07,-0.11389E+08,-0.60261E+07,-0.25721E+07,-0.16304E+07,-0.45649E+07,-0.20905E+07
791.4000000000,-0.15464E+06,-0.12694E+07,-0.18336E+06,-0.19184E+07,-0.65484E+07,-0.81096E+06,-0.34606E+07,-0.30652E+07,-0.17126E+08,-0.14461E+06,-0.68915E+07,-0.25250E+07,-0.10729E+08,-0.53491E+07,-0.24702E+07,-0.13461E+07,-0.40277E+07,-0.19556E+07
820.4000000000,-0.15184E+06,-0.12348E+07,-0.17564E+06,-0.18315E+07,-0.62792E+07,-0.79612E+06,-0.32929E+07,-0.29100E+07,-0.16605E+08,-0.14602E+06,-0.65107E+07,-0.23695E+07,-0.10051E+08,-0.48215E+07,-0.23868E+07,-0.12062E+07,-0.36803E+07,-0.18382E+07
851.4000000000,-0.14893E+06,-0.12000E+07,-0.16813E+06,-0.17436E+07,-0.60326E+07,-0.78134E+06,-0.31440E+07,-0.27694E+07,-0.16215E+08,-0.14584E+06,-0.62470E+07,-0.22695E+07,-0.95132E+07,-0.43785E+07,-0.23027E+07,-0.11309E+07,-0.34388E+07,-0.17229E+07
881.4000000000,-0.14905E+06,-0.11946E+07,-0.17245E+06,-0.17574E+07,-0.62646E+07,-0.78486E+06,-0.32029E+07,-0.29981E+07,-0.19638E+08,-0.14323E+06,-0.70887E+07,-0.36442E+07,-0.98807E+07,-0.49728E+07,-0.22764E+07,-0.22560E+07,-0.45609E+07,-0.17371E+07
912.4000000000,-0.15139E+06,-0.12554E+07,-0.18155E+06,-0.18153E+07,-0.66504E+07,-0.81245E+06,-0.38463E+07,-0.33154E+07,-0.23478E+08,-0.12546E+06,-0.89906E+07,-0.58436E+07,-0.10847E+08,-0.59237E+07,-0.22688E+07,-0.38970E+07,-0.62285E+07,-0.18311E+07
942.4000000000,-0.15308E+06,-0.13020E+07,-0.18771E+06,-0.18624E+07,-0.68725E+07,-0.83797E+06,-0.43378E+07,-0.34895E+07,-0.24412E+08,-0.10295E+06,-0.99174E+07,-0.69385E+07,-0.11760E+08,-0.66951E+07,-0.22856E+07,-0.49880E+07,-0.73579E+07,-0.19282E+07
973.4000000000,-0.15312E+06,-0.12993E+07,-0.19118E+06,-0.18980E+07,-0.69950E+07,-0.85122E+06,-0.42748E+07,-0.35005E+07,-0.23171E+08,-91139.,-0.96034E+07,-0.62107E+07,-0.12348E+08,-0.71428E+07,-0.23044E+07,-0.52292E+07,-0.76087E+07,-0.20181E+07
1004.400000000,-0.15295E+06,-0.12929E+07,-0.19685E+06,-0.19131E+07,-0.71494E+07,-0.86062E+06,-0.41812E+07,-0.35745E+07,-0.23308E+08,-83490.,-0.98718E+07,-0.62913E+07,-0.12689E+08,-0.75023E+07,-0.23056E+07,-0.52743E+07,-0.74991E+07,-0.20872E+07
1034.400000000,-0.15241E+06,-0.12473E+07,-0.19749E+06,-0.18807E+07,-0.71125E+07,-0.86127E+06,-0.36584E+07,-0.34963E+07,-0.20990E+08,-80861.,-0.86164E+07,-0.55481E+07,-0.12516E+08,-0.76621E+07,-0.22532E+07,-0.48814E+07,-0.69220E+07,-0.20803E+07
1065.400000000,-0.14972E+06,-0.11856E+07,-0.18813E+06,-0.17985E+07,-0.68331E+07,-0.84101E+06,-0.31978E+07,-0.31863E+07,-0.17715E+08,-64257.,-0.70002E+07,-0.35364E+07,-0.11819E+08,-0.69206E+07,-0.21456E+07,-0.31612E+07,-0.59779E+07,-0.19960E+07
1095.400000000,-0.14649E+06,-0.11468E+07,-0.17971E+06,-0.17079E+07,-0.64589E+07,-0.82132E+06,-0.29778E+07,-0.29609E+07,-0.16468E+08,-66414.,-0.63834E+07,-0.27108E+07,-0.11337E+08,-0.60427E+07,-0.20598E+07,-0.19637E+07,-0.48319E+07,-0.18615E+07
1126.400000000,-0.14342E+06,-0.11129E+07,-0.17173E+06,-0.16210E+07,-0.61381E+07,-0.80294E+06,-0.28371E+07,-0.27794E+07,-0.15833E+08,-70620.,-0.59567E+07,-0.23428E+07,-0.10568E+08,-0.53103E+07,-0.19811E+07,-0.14535E+07,-0.41379E+07,-0.17381E+07
1157.400000000,-0.14047E+06,-0.10819E+07,-0.16436E+06,-0.15472E+07,-0.58632E+07,-0.78598E+06,-0.27173E+07,-0.26254E+07,-0.15394E+08,-73762.,-0.56405E+07,-0.21682E+07,-0.99499E+07,-0.47142E+07,-0.19089E+07,-0.12313E+07,-0.36981E+07,-0.16255E+07
1185.400000000,-0.13788E+06,-0.10552E+07,-0.15811E+06,-0.14844E+07,-0.56427E+07,-0.77158E+06,-0.26244E+07,-0.25027E+07,-0.15073E+08,-75450.,-0.54531E+07,-0.20776E+07,-0.94509E+07,-0.42801E+07,-0.18486E+07,-0.11224E+07,-0.34299E+07,-0.15309E+07
1216.400000000,-0.13510E+06,-0.10271E+07,-0.15175E+06,-0.14183E+07,-0.54300E+07,-0.75660E+06,-0.25347E+07,-0.23908E+07,-0.14808E+08,-78124.,-0.53232E+07,-0.20101E+07,-0.91610E+07,-0.39045E+07,-0.17860E+07,-0.10555E+07,-0.32324E+07,-0.14395E+07
