weight_zone_id,weight_zone_name,zone_area
1,caldwell_to_nyssa,909081307.6955563
2,hills_west,393676235.8111851
3,boise_to_nampa,782172521.1511723
4,southwest,590514353.7167757
5,south,1038580069.4755619
6,payette_east,222737870.26158875
7,mayfield,279717325.4447939
8,hills_east,282307300.68038684
9,payette_west,321156929.21437985
